size,random_insertion_sort_times,random_quick_sort_times,reverse_insertion_sort_times,reverse_quick_sort_times
50,3.7e-06,3.7e-06,6.5e-06,6.5e-06
51,3.9e-06,3.9e-06,6.7e-06,6.7e-06
52,4e-06,4e-06,7e-06,7e-06
53,4.1e-06,4.2e-06,7.2e-06,7.3e-06
54,4.3e-06,4.3e-06,7.5e-06,7.5e-06
55,4.4e-06,4.4e-06,7.8e-06,7.8e-06
56,4.6e-06,4.5e-06,8.1e-06,8.1e-06
57,4.6e-06,4.6e-06,8.4e-06,8.3e-06
58,4.8e-06,4.8e-06,8.6e-06,8.9e-06
59,5.1e-06,5.1e-06,8.9e-06,8.9e-06
60,5.1e-06,5.1e-06,9.2e-06,9.2e-06
61,5.3e-06,5.3e-06,9.5e-06,9.5e-06
62,5.3e-06,5.4e-06,9.8e-06,9.8e-06
63,5.6e-06,5.6e-06,1.01e-05,1.01e-05
64,5.9e-06,6e-06,1.04e-05,1.04e-05
65,6e-06,6e-06,1.07e-05,1.08e-05
66,6.1e-06,6.1e-06,1.11e-05,1.11e-05
67,6.3e-06,6.3e-06,1.14e-05,1.14e-05
68,6.4e-06,6.5e-06,1.17e-05,1.21e-05
69,6.7e-06,6.7e-06,1.25e-05,1.24e-05
70,6.9e-06,6.9e-06,1.28e-05,1.28e-05
71,7.2e-06,7e-06,1.32e-05,1.32e-05
72,7.2e-06,7.3e-06,1.35e-05,1.35e-05
73,7.4e-06,7.5e-06,1.38e-05,1.38e-05
74,7.4e-06,7.5e-06,1.42e-05,1.42e-05
75,7.5e-06,7.5e-06,1.46e-05,1.46e-05
76,8e-06,8.1e-06,1.5e-05,1.5e-05
77,8e-06,8.1e-06,1.54e-05,1.54e-05
78,8.3e-06,8.3e-06,1.58e-05,1.58e-05
79,8.5e-06,8.5e-06,1.62e-05,1.61e-05
80,8.8e-06,8.8e-06,1.66e-05,1.66e-05
81,9e-06,9.1e-06,1.7e-05,1.7e-05
82,9.4e-06,9.5e-06,1.74e-05,1.74e-05
83,9.6e-06,9.6e-06,1.78e-05,1.78e-05
84,9.7e-06,9.7e-06,1.83e-05,1.82e-05
85,1.01e-05,1.01e-05,1.86e-05,1.87e-05
86,1.04e-05,1.05e-05,1.91e-05,1.91e-05
87,1.09e-05,1.09e-05,1.95e-05,1.96e-05
88,1.11e-05,1.12e-05,2.01e-05,2e-05
89,1.13e-05,1.14e-05,2.05e-05,2.04e-05
90,1.13e-05,1.14e-05,2.09e-05,2.09e-05
91,1.16e-05,7.4e-06,2.13e-05,2.1e-05
